  Words          P(PERSON)  P(O)   CLASS
  debt            0.0099   0.9901   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  There           0.0029   0.9971   O
  are             0.0029   0.9971   O
  two             0.0029   0.9971   O
  entirely        0.0029   0.9971   O
  separate        0.0029   0.9971   O
  issues          0.0029   0.9971   O
  ,               0.0028   0.9972   O
  ''              0.0031   0.9969   O
  the             0.0002   0.9998   O
  prime           0.0029   0.9971   O
  minister        0.0029   0.9971   O
  said            0.0028   0.9972   O
  .               0.0029   0.9971   O
  Speaking        0.0029   0.9971   O
  to              0.0029   0.9971   O
  reporters       0.0029   0.9971   O
  during          0.0028   0.9972   O
  a               0.0029   0.9971   O
  visit           0.0029   0.9971   O
  to              0.0029   0.9971   O
  Hartlepool      0.2005   0.7995   O
  ,               0.0028   0.9972   O
  Boris           0.6526   0.3474   PERSON
  Johnson         0.8151   0.1849   PERSON
  said            0.0028   0.9972   O
  ministers       0.0029   0.9971   O
  were            0.0029   0.9971   O
  doing           0.0029   0.9971   O
  ``              0.0031   0.9969   O
  everything      0.0029   0.9971   O
  we              0.0029   0.9971   O
  can             0.0029   0.9971   O
  to              0.0029   0.9971   O
  look            0.0099   0.9901   O
  after           0.0099   0.9901   O
  the             0.0002   0.9998   O
  interests       0.0029   0.9971   O
  of              0.0003   0.9997   O
  Nazanin         0.6989   0.3011   PERSON
  and             0.0029   0.9971   O
  all             0.0029   0.9971   O
  the             0.0002   0.9998   O
  very            0.0029   0.9971   O
  difficult       0.0029   0.9971   O
  dual            0.0031   0.9969   O
  national        0.0029   0.9971   O
  cases           0.0029   0.9971   O
  we              0.0029   0.9971   O
  have            0.0099   0.9901   O
  in              0.0099   0.9901   O
  Tehran          0.3279   0.6721   O
  ''              0.0031   0.9969   O
  .               0.0029   0.9971   O
  The             0.0029   0.9971   O
  case            0.0029   0.9971   O
  of              0.0003   0.9997   O
  Mrs             0.0848   0.9152   O
  Zaghari         0.4803   0.5197   O
  Ratcliffe       0.6989   0.3011   PERSON
  made            0.0028   0.9972   O
  headlines       0.0031   0.9969   O
  again           0.0028   0.9972   O
  in              0.0029   0.9971   O
  recent          0.0029   0.9971   O
  weeks           0.0029   0.9971   O
  after           0.0029   0.9971   O
  she             0.0029   0.9971   O
  was             0.0028   0.9972   O
  sentenced       0.0029   0.9971   O
  to              0.0029   0.9971   O
  another         0.0029   0.9971   O
  year            0.0029   0.9971   O
  in              0.0029   0.9971   O
  prison          0.0099   0.9901   O
  ,               0.0099   0.9901   O
  just            0.0029   0.9971   O
  weeks           0.0029   0.9971   O
  after           0.0029   0.9971   O
  she             0.0029   0.9971   O
  reached         0.0029   0.9971   O
  the             0.0002   0.9998   O
  end             0.0029   0.9971   O
  of              0.0003   0.9997   O
  a               0.0029   0.9971   O
  five-year       0.0029   0.9971   O
  sentence        0.0029   0.9971   O
  .               0.0029   0.9971   O
  She             0.0029   0.9971   O
  was             0.0028   0.9972   O
  first           0.0029   0.9971   O
  jailed          0.0029   0.9971   O
  in              0.0029   0.9971   O
  Tehran          0.3279   0.6721   O
  in              0.0029   0.9971   O
  2016            0.0031   0.9969   O
  on              0.0029   0.9971   O
  spying          0.0029   0.9971   O
  charges         0.0029   0.9971   O
  ,               0.0028   0.9972   O
  which           0.0029   0.9971   O
  she             0.0029   0.9971   O
  has             0.0028   0.9972   O
  always          0.0029   0.9971   O
  denied          0.0028   0.9972   O
  .               0.0029   0.9971   O
  Her             0.0028   0.9972   O
  husband         0.0029   0.9971   O
  ,               0.0028   0.9972   O
  Richard         0.6526   0.3474   PERSON
  ,               0.0028   0.9972   O
  maintains       0.0029   0.9971   O
  she             0.0029   0.9971   O
  is              0.0028   0.9972   O
  being           0.0029   0.9971   O
  used            0.0029   0.9971   O
  as              0.0029   0.9971   O
  a               0.0029   0.9971   O
  bargaining      0.0031   0.9969   O
  chip            0.0029   0.9971   O
  in              0.0029   0.9971   O
  the             0.0002   0.9998   O
  dispute         0.0029   0.9971   O
  over            0.0029   0.9971   O
  the             0.0002   0.9998   O
  unpaid          0.0029   0.9971   O
  debt            0.0099   0.9901   O
  ,               0.0099   0.9901   O
  as              0.0029   0.9971   O
  well            0.0029   0.9971   O
  as              0.0029   0.9971   O
  leverage        0.0031   0.9969   O
  in              0.0029   0.9971   O
  talks           0.0029   0.9971   O
  over            0.0029   0.9971   O
  the             0.0002   0.9998   O
  nuclear         0.0029   0.9971   O
  deal            0.0029   0.9971   O
  between         0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  and             0.0029   0.9971   O
  world           0.0099   0.9901   O
  powers          0.0099   0.9901   O
  .               0.0029   0.9971   O
  On              0.0029   0.9971   O
  Sunday          0.0127   0.9873   O
  ,               0.0028   0.9972   O
  Iranian         0.0029   0.9971   O
  state           0.0029   0.9971   O
  TV              0.0028   0.9972   O
  suggested       0.0029   0.9971   O
  the             0.0002   0.9998   O
  UK              0.0188   0.9812   O
  had             0.0028   0.9972   O
  paid            0.0029   0.9971   O
  the             0.0002   0.9998   O
  £400m           0.0031   0.9969   O
  debt            0.0029   0.9971   O
  -               0.0029   0.9971   O
  but             0.0029   0.9971   O
  the             0.0002   0.9998   O
  UK              0.0188   0.9812   O
  government      0.0029   0.9971   O
  said            0.0028   0.9972   O
  nothing         0.0099   0.9901   O
  had             0.0099   0.9901   O
  changed         0.0029   0.9971   O
  .               0.0029   0.9971   O
  Speaking        0.0029   0.9971   O
  to              0.0029   0.9971   O
  BBC             0.0187   0.9813   O
  Radio           0.0860   0.9140   O
  4               0.0029   0.9971   O
  's              0.0028   0.9972   O
  Today           0.0885   0.9115   O
  programme       0.0029   0.9971   O
  on              0.0029   0.9971   O
  Monday          0.0847   0.9153   O
  ,               0.0028   0.9972   O
  Foreign         0.0851   0.9149   O
  Office          0.0848   0.9152   O
  minister        0.0029   0.9971   O
  Mr              0.1698   0.8302   O
  Cleverly        0.6707   0.3293   PERSON
  said            0.0028   0.9972   O
  :               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  The             0.0029   0.9971   O
  situation       0.0099   0.9901   O
  with            0.0099   0.9901   O
  regards         0.0029   0.9971   O
  to              0.0029   0.9971   O
  the             0.0002   0.9998   O
  .               0.0029   0.9971   O
  .               0.0029   0.9971   O
  .               0.0029   0.9971   O
  military        0.0029   0.9971   O
  contract        0.0029   0.9971   O
  from            0.0029   0.9971   O
  the             0.0002   0.9998   O
  1970s           0.0029   0.9971   O
  which           0.0029   0.9971   O
  has             0.0028   0.9972   O
  dragged         0.0029   0.9971   O
  on              0.0029   0.9971   O
  for             0.0029   0.9971   O
  decades         0.0029   0.9971   O
  ,               0.0028   0.9972   O
  those           0.0029   0.9971   O
  negotiations    0.0029   0.9971   O
  are             0.0029   0.9971   O
  ongoing         0.0029   0.9971   O
  .               0.0029   0.9971   O
  They            0.0029   0.9971   O
  have            0.0029   0.9971   O
  been            0.0029   0.9971   O
  for             0.0029   0.9971   O
  a               0.0029   0.9971   O
  long            0.0029   0.9971   O
  while           0.0029   0.9971   O
  ,               0.0028   0.9972   O
  sadly           0.0031   0.9969   O
  ,               0.0028   0.9972   O
  but             0.0029   0.9971   O
  they            0.0029   0.9971   O
  are             0.0029   0.9971   O
  ongoing         0.0029   0.9971   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  Who             0.0029   0.9971   O
  is              0.0028   0.9972   O
  Nazanin         0.6989   0.3011   PERSON
  Zaghari-Ratcliffe 0.2556   0.7444   O
  ?               0.0029   0.9971   O
  Zaghari-Ratcliffe 0.2556   0.7444   O
  sentenced       0.0029   0.9971   O
  to              0.0029   0.9971   O
  a               0.0029   0.9971   O
  year            0.0029   0.9971   O
  in              0.0029   0.9971   O
  prison          0.0029   0.9971   O
  'My             0.0031   0.9969   O
  wife            0.0029   0.9971   O
  has             0.0028   0.9972   O
  been            0.0029   0.9971   O
  used            0.0029   0.9971   O
  as              0.0029   0.9971   O
  a               0.0029   0.9971   O
  bargaining      0.0109   0.9891   O
  chip            0.0099   0.9901   O
  '               0.0029   0.9971   O
  Asked           0.0029   0.9971   O
  if              0.0029   0.9971   O
  the             0.0002   0.9998   O
  talks           0.0029   0.9971   O
  were            0.0029   0.9971   O
  getting         0.0029   0.9971   O
  anywhere        0.0029   0.9971   O
  ,               0.0028   0.9972   O
  Mr              0.1698   0.8302   O
  Cleverly        0.6707   0.3293   PERSON
  said            0.0028   0.9972   O
  :               0.0029   0.9971   O
  ``              0.0109   0.9891   O
  There           0.0099   0.9901   O
  's              0.0028   0.9972   O
  a               0.0029   0.9971   O
  legal           0.0029   0.9971   O
  process         0.0029   0.9971   O
  tied            0.0029   0.9971   O
  up              0.0029   0.9971   O
  with            0.0029   0.9971   O
  this            0.0029   0.9971   O
  as              0.0029   0.9971   O
  well            0.0029   0.9971   O
  .               0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  most            0.0029   0.9971   O
  recently        0.0029   0.9971   O
  stepped         0.0029   0.9971   O
  away            0.0029   0.9971   O
  from            0.0029   0.9971   O
  that            0.0029   0.9971   O
  legal           0.0029   0.9971   O
  process         0.0029   0.9971   O
  which           0.0029   0.9971   O
  has             0.0028   0.9972   O
  of              0.0003   0.9997   O
  course          0.0029   0.9971   O
  delayed         0.0029   0.9971   O
  things          0.0029   0.9971   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  We              0.0029   0.9971   O
  are             0.0029   0.9971   O
  looking         0.0029   0.9971   O
  at              0.0029   0.9971   O
  ways            0.0029   0.9971   O
  of              0.0003   0.9997   O
  resolving       0.0029   0.9971   O
  what            0.0029   0.9971   O
  has             0.0028   0.9972   O
  been            0.0029   0.9971   O
  a               0.0029   0.9971   O
  multi-decade    0.0031   0.9969   O
  long            0.0029   0.9971   O
  problem         0.0029   0.9971   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  The             0.0029   0.9971   O
  reports         0.0029   0.9971   O
  that            0.0029   0.9971   O
  we              0.0029   0.9971   O
  had             0.0028   0.9972   O
  over            0.0029   0.9971   O
  the             0.0002   0.9998   O
  weekend         0.0029   0.9971   O
  linking         0.0029   0.9971   O
  that            0.0029   0.9971   O
  work            0.0029   0.9971   O
  with            0.0029   0.9971   O
  the             0.0002   0.9998   O
  incarceration   0.0031   0.9969   O
  and             0.0029   0.9971   O
  the             0.0002   0.9998   O
  arbitrary       0.0031   0.9969   O
  detention       0.0029   0.9971   O
  of              0.0003   0.9997   O
  British         0.0098   0.9902   O
  dual            0.0109   0.9891   O
  nationals       0.0029   0.9971   O
  I               0.0029   0.9971   O
  think           0.0029   0.9971   O
  was             0.0028   0.9972   O
  completely      0.0029   0.9971   O
  inappropriate   0.0031   0.9969   O
  -               0.0029   0.9971   O
  they            0.0029   0.9971   O
  are             0.0029   0.9971   O
  separate        0.0029   0.9971   O
  issues          0.0029   0.9971   O
  ,               0.0028   0.9972   O
  one             0.0029   0.9971   O
  massively       0.0099   0.9901   O
  predates        0.0109   0.9891   O
  the             0.0002   0.9998   O
  other           0.0029   0.9971   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  He              0.0029   0.9971   O
  said            0.0028   0.9972   O
  the             0.0002   0.9998   O
  imprisonment    0.0029   0.9971   O
  of              0.0003   0.9997   O
  dual            0.0031   0.9969   O
  nationals       0.0029   0.9971   O
  in              0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  ``              0.0031   0.9969   O
  should          0.0028   0.9972   O
  be              0.0029   0.9971   O
  unlinked        0.0031   0.9969   O
  to              0.0029   0.9971   O
  the             0.0002   0.9998   O
  multi-decade    0.0031   0.9969   O
  long            0.0029   0.9971   O
  dispute         0.0029   0.9971   O
  with            0.0029   0.9971   O
  regard          0.0099   0.9901   O
  to              0.0099   0.9901   O
  the             0.0002   0.9998   O
  tanks           0.0029   0.9971   O
  ''              0.0031   0.9969   O
  .               0.0029   0.9971   O
  2px             0.0031   0.9969   O
  presentational  0.0031   0.9969   O
  grey            0.0031   0.9969   O
  line            0.0029   0.9971   O
  Analysis        0.0031   0.9969   O
  By              0.0029   0.9971   O
  Caroline        0.6526   0.3474   PERSON
  Hawley          0.6989   0.3011   PERSON
  ,               0.0028   0.9972   O
  BBC             0.0187   0.9813   O
  Diplomatic      0.1007   0.8993   O
  Correspondent   0.1007   0.8993   O
  The             0.0029   0.9971   O
  decades-old     0.0031   0.9969   O
  debt            0.0029   0.9971   O
  and             0.0029   0.9971   O
  the             0.0002   0.9998   O
  imprisonment    0.0029   0.9971   O
  of              0.0003   0.9997   O
  British-Iranian 0.0031   0.9969   O
  nationals       0.0099   0.9901   O
  may             0.0099   0.9901   O
  be              0.0029   0.9971   O
  ``              0.0031   0.9969   O
  separate        0.0029   0.9971   O
  issues          0.0029   0.9971   O
  ''              0.0031   0.9969   O
  to              0.0029   0.9971   O
  the             0.0002   0.9998   O
  UK              0.0028   0.9972   O
  government      0.0029   0.9971   O
  .               0.0029   0.9971   O
  However         0.0029   0.9971   O
  ,               0.0028   0.9972   O
  they            0.0029   0.9971   O
  are             0.0029   0.9971   O
  not             0.0029   0.9971   O
  in              0.0029   0.9971   O
  the             0.0002   0.9998   O
  eyes            0.0029   0.9971   O
  of              0.0003   0.9997   O
  Iran            0.0920   0.9080   O
  's              0.0028   0.9972   O
  powerful        0.0029   0.9971   O
  Islamic         0.0855   0.9145   O
  Revolutionary   0.0848   0.9152   O
  Guard           0.0848   0.9152   O
  Corps           0.0848   0.9152   O
  ,               0.0028   0.9972   O
  which           0.0029   0.9971   O
  has             0.0028   0.9972   O
  been            0.0029   0.9971   O
  involved        0.0099   0.9901   O
  in              0.0099   0.9901   O
  the             0.0002   0.9998   O
  detention       0.0029   0.9971   O
  of              0.0003   0.9997   O
  both            0.0029   0.9971   O
  Nazanin         0.6989   0.3011   PERSON
  Zaghari-Ratcliffe 0.2556   0.7444   O
  and             0.0029   0.9971   O
  Anoosheh        0.2556   0.7444   O
  Ashoori         0.2556   0.7444   O
  ,               0.0028   0.9972   O
  a               0.0029   0.9971   O
  67-year-old     0.0031   0.9969   O
  retired         0.0028   0.9972   O
  engineer        0.0099   0.9901   O
  now             0.0099   0.9901   O
  serving         0.0029   0.9971   O
  a               0.0029   0.9971   O
  10-year         0.0029   0.9971   O
  sentence        0.0029   0.9971   O
  in              0.0029   0.9971   O
  Evin            0.6989   0.3011   PERSON
  jail            0.0029   0.9971   O
  -               0.0029   0.9971   O
  where           0.0029   0.9971   O
  he              0.0029   0.9971   O
  has             0.0028   0.9972   O
  twice           0.0029   0.9971   O
  attempted       0.0029   0.9971   O
  suicide         0.0029   0.9971   O
  .               0.0029   0.9971   O
  Both            0.0029   0.9971   O
  of              0.0003   0.9997   O
  them            0.0029   0.9971   O
  have            0.0029   0.9971   O
  been            0.0029   0.9971   O
  told            0.0028   0.9972   O
  directly        0.0029   0.9971   O
  that            0.0029   0.9971   O
  their           0.0029   0.9971   O
  cases           0.0029   0.9971   O
  are             0.0029   0.9971   O
  connected       0.0029   0.9971   O
  to              0.0029   0.9971   O
  the             0.0002   0.9998   O
  military        0.0029   0.9971   O
  debt            0.0029   0.9971   O
  .               0.0029   0.9971   O
  We              0.0029   0.9971   O
  do              0.0029   0.9971   O
  n't             0.0029   0.9971   O
  know            0.0029   0.9971   O
  exactly         0.0029   0.9971   O
  what            0.0029   0.9971   O
  's              0.0028   0.9972   O
  happening       0.0029   0.9971   O
  behind          0.0029   0.9971   O
  the             0.0002   0.9998   O
  scenes          0.0029   0.9971   O
  to              0.0029   0.9971   O
  resolve         0.0029   0.9971   O
  the             0.0002   0.9998   O
  debt            0.0029   0.9971   O
  .               0.0029   0.9971   O
  British         0.0028   0.9972   O
  officials       0.0029   0.9971   O
  have            0.0029   0.9971   O
  said            0.0028   0.9972   O
  sanctions       0.0029   0.9971   O
  on              0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  are             0.0029   0.9971   O
  an              0.0029   0.9971   O
  obstacle        0.0031   0.9969   O
  to              0.0029   0.9971   O
  repayment       0.0031   0.9969   O
  ,               0.0028   0.9972   O
  but             0.0029   0.9971   O
  negotiations    0.0029   0.9971   O
  have            0.0029   0.9971   O
  been            0.0029   0.9971   O
  taking          0.0029   0.9971   O
  place           0.0029   0.9971   O
  in              0.0029   0.9971   O
  Vienna          0.2446   0.7554   O
  which           0.0099   0.9901   O
  would           0.0029   0.9971   O
  involve         0.0029   0.9971   O
  lifting         0.0028   0.9972   O
  US              0.0188   0.9812   O
  sanctions       0.0029   0.9971   O
  in              0.0029   0.9971   O
  return          0.0029   0.9971   O
  for             0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  complying       0.0029   0.9971   O
  with            0.0029   0.9971   O
  the             0.0002   0.9998   O
  nuclear         0.0029   0.9971   O
  deal            0.0099   0.9901   O
  it              0.0099   0.9901   O
  signed          0.0028   0.9972   O
  in              0.0029   0.9971   O
  2015            0.0031   0.9969   O
  .               0.0029   0.9971   O
  As              0.0029   0.9971   O
  the             0.0002   0.9998   O
  nuclear         0.0029   0.9971   O
  deal            0.0029   0.9971   O
  came            0.0028   0.9972   O
  into            0.0029   0.9971   O
  force           0.0029   0.9971   O
  back            0.0029   0.9971   O
  in              0.0029   0.9971   O
  early           0.0029   0.9971   O
  2016            0.0031   0.9969   O
  ,               0.0028   0.9972   O
  the             0.0002   0.9998   O
  US              0.0188   0.9812   O
  paid            0.0029   0.9971   O
  back            0.0029   0.9971   O
  its             0.0029   0.9971   O
  own             0.0029   0.9971   O
  historic        0.0029   0.9971   O
  military        0.0029   0.9971   O
  debt            0.0099   0.9901   O
  and             0.0099   0.9901   O
  in              0.0029   0.9971   O
  return          0.0029   0.9971   O
  saw             0.0029   0.9971   O
  the             0.0002   0.9998   O
  release         0.0029   0.9971   O
  of              0.0003   0.9997   O
  four            0.0029   0.9971   O
  Americans       0.0029   0.9971   O
  detained        0.0029   0.9971   O
  in              0.0029   0.9971   O
  Tehran          0.3279   0.6721   O
  .               0.0029   0.9971   O
  Richard         0.6526   0.3474   PERSON
  Ratcliffe       0.6989   0.3011   PERSON
  believes        0.0029   0.9971   O
  Iran            0.0846   0.9154   O
  is              0.0028   0.9972   O
  now             0.0029   0.9971   O
  trying          0.0029   0.9971   O
  to              0.0029   0.9971   O
  engineer        0.0029   0.9971   O
  a               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  grand           0.0029   0.9971   O
  bargain         0.0031   0.9969   O
  ''              0.0031   0.9969   O
  -               0.0029   0.9971   O
  involving       0.0029   0.9971   O
  frozen          0.0031   0.9969   O
  assets          0.0029   0.9971   O
  ,               0.0028   0.9972   O
  Iranian         0.0029   0.9971   O
  prisoners       0.0099   0.9901   O
  and             0.0099   0.9901   O
  jailed          0.0029   0.9971   O
  dual            0.0031   0.9969   O
  nationals       0.0029   0.9971   O
  from            0.0029   0.9971   O
  several         0.0029   0.9971   O
  countries       0.0029   0.9971   O
  .               0.0029   0.9971   O
  And             0.0029   0.9971   O
  this            0.0029   0.9971   O
  is              0.0028   0.9972   O
  against         0.0029   0.9971   O
  the             0.0002   0.9998   O
  backdrop        0.0029   0.9971   O
  of              0.0003   0.9997   O
  Iran            0.0920   0.9080   O
  's              0.0028   0.9972   O
  complex         0.0029   0.9971   O
  internal        0.0029   0.9971   O
  politics        0.0029   0.9971   O
  and             0.0029   0.9971   O
  elections       0.0029   0.9971   O
  in              0.0029   0.9971   O
  June            0.0847   0.9153   O
  pitting         0.0029   0.9971   O
  hardliners      0.0029   0.9971   O
  against         0.0029   0.9971   O
  moderates       0.0029   0.9971   O
  .               0.0099   0.9901   O
  It              0.0029   0.9971   O
  's              0.0028   0.9972   O
  all             0.0029   0.9971   O
  extraordinarily 0.0031   0.9969   O
  complicated     0.0029   0.9971   O
  and             0.0029   0.9971   O
  ,               0.0028   0.9972   O
  for             0.0029   0.9971   O
  the             0.0002   0.9998   O
  innocent        0.0029   0.9971   O
  families        0.0029   0.9971   O
  caught          0.0028   0.9972   O
  up              0.0029   0.9971   O
  in              0.0029   0.9971   O
  it              0.0029   0.9971   O
  ,               0.0028   0.9972   O
  exceedingly     0.0031   0.9969   O
  fraught         0.0031   0.9969   O
  .               0.0029   0.9971   O
  2px             0.0031   0.9969   O
  presentational  0.0031   0.9969   O
  grey            0.0031   0.9969   O
  line            0.0029   0.9971   O
  media           0.0029   0.9971   O
  captionRichard  0.0031   0.9969   O
  Ratcliffe       0.6989   0.3011   PERSON
  :               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  I               0.0029   0.9971   O
  think           0.0029   0.9971   O
  it              0.0029   0.9971   O
  was             0.0028   0.9972   O
  worse           0.0029   0.9971   O
  than            0.0029   0.9971   O
  I               0.0029   0.9971   O
  was             0.0028   0.9972   O
  expecting       0.0029   0.9971   O
  ''              0.0031   0.9969   O
  Meanwhile       0.0029   0.9971   O
  ,               0.0099   0.9901   O
  Tulip           0.7256   0.2744   PERSON
  Siddiq          0.6989   0.3011   PERSON
  -               0.0029   0.9971   O
  who             0.0029   0.9971   O
  is              0.0028   0.9972   O
  the             0.0002   0.9998   O
  MP              0.0210   0.9790   O
  representing    0.0029   0.9971   O
  42-year-old     0.0029   0.9971   O
  Mrs             0.0848   0.9152   O
  Zaghari-Ratcliffe 0.4803   0.5197   O
  ,               0.0028   0.9972   O
  from            0.0029   0.9971   O
  West            0.0226   0.9774   O
  Hampstead       0.5455   0.4545   PERSON
  in              0.0099   0.9901   O
  London          0.0846   0.9154   O
  -               0.0029   0.9971   O
  tweeted         0.0031   0.9969   O
  :               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  People          0.0027   0.9973   O
  seem            0.0029   0.9971   O
  to              0.0029   0.9971   O
  be              0.0029   0.9971   O
  being           0.0029   0.9971   O
  fed             0.0029   0.9971   O
  a               0.0029   0.9971   O
  false           0.0029   0.9971   O
  narrative       0.0031   0.9969   O
  that            0.0029   0.9971   O
  the             0.0002   0.9998   O
  £400m           0.0031   0.9969   O
  in              0.0029   0.9971   O
  Nazanin         0.6989   0.3011   PERSON
  Zaghari-Ratcliffe 0.2737   0.7263   O
  's              0.0028   0.9972   O
  case            0.0029   0.9971   O
  is              0.0028   0.9972   O
  a               0.0029   0.9971   O
  ransom          0.0029   0.9971   O
  .               0.0029   0.9971   O
  It              0.0029   0.9971   O
  is              0.0028   0.9972   O
  not             0.0029   0.9971   O
  .               0.0029   0.9971   O
  It              0.0029   0.9971   O
  is              0.0028   0.9972   O
  a               0.0029   0.9971   O
  historic        0.0029   0.9971   O
  debt            0.0029   0.9971   O
  that            0.0029   0.9971   O
  the             0.0002   0.9998   O
  courts          0.0029   0.9971   O
  (               0.0004   0.9996   O
  and             0.0029   0.9971   O
  the             0.0002   0.9998   O
  government      0.0029   0.9971   O
  )               0.0006   0.9994   O
  have            0.0029   0.9971   O
  confirmed       0.0028   0.9972   O
  the             0.0002   0.9998   O
  UK              0.0188   0.9812   O
  owes            0.0031   0.9969   O
  Iran            0.0846   0.9154   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  The             0.0029   0.9971   O
  UK              0.0188   0.9812   O
  government      0.0029   0.9971   O
  has             0.0028   0.9972   O
  repeatedly      0.0029   0.9971   O
  condemned       0.0031   0.9969   O
  Iran            0.0920   0.9080   O
  's              0.0028   0.9972   O
  treatment       0.0029   0.9971   O
  of              0.0003   0.9997   O
  her             0.0029   0.9971   O
  -               0.0029   0.9971   O
  and             0.0029   0.9971   O
  on              0.0029   0.9971   O
  Sunday          0.0127   0.9873   O
  Foreign         0.0851   0.9149   O
  Secretary       0.0848   0.9152   O
  Dominic         0.6526   0.3474   PERSON
  Raab            0.6989   0.3011   PERSON
  used            0.0099   0.9901   O
  its             0.0099   0.9901   O
  strongest       0.0029   0.9971   O
  language        0.0029   0.9971   O
  to              0.0029   0.9971   O
  date            0.0029   0.9971   O
  when            0.0029   0.9971   O
  he              0.0029   0.9971   O
  said            0.0028   0.9972   O
  it              0.0029   0.9971   O
  ``              0.0031   0.9969   O
  amounts         0.0031   0.9969   O
  to              0.0029   0.9971   O
  torture         0.0029   0.9971   O
  ''              0.0031   0.9969   O
  .               0.0099   0.9901   O
  Speaking        0.0029   0.9971   O
  to              0.0029   0.9971   O
  the             0.0002   0.9998   O
  BBC             0.0205   0.9795   O
  's              0.0028   0.9972   O
  Andrew          0.6643   0.3357   PERSON
  Marr            0.6989   0.3011   PERSON
  show            0.0029   0.9971   O
  ,               0.0028   0.9972   O
  Mr              0.1698   0.8302   O
  Raab            0.8620   0.1380   PERSON
  said            0.0028   0.9972   O
  Tehran          0.3279   0.6721   O
  was             0.0028   0.9972   O
  using           0.0029   0.9971   O
  her             0.0029   0.9971   O
  in              0.0029   0.9971   O
  ``              0.0031   0.9969   O
  a               0.0029   0.9971   O
  cat-and-mouse   0.0031   0.9969   O
  game            0.0099   0.9901   O
  ''              0.0109   0.9891   O
  for             0.0029   0.9971   O
  diplomatic      0.0029   0.9971   O
  leverage        0.0031   0.9969   O
  .               0.0029   0.9971   O
  ``              0.0031   0.9969   O
  Nazanin         0.6989   0.3011   PERSON
  is              0.0028   0.9972   O
  held            0.0029   0.9971   O
  unlawfully      0.0031   0.9969   O
  ,               0.0028   0.9972   O
  in              0.0029   0.9971   O
  my              0.0029   0.9971   O
  view            0.0029   0.9971   O
  ,               0.0028   0.9972   O
