  Words          P(PERSON)  P(O)
  from            0.0155   0.9845
  artists         0.0246   0.9754
  Jennifer        0.7401   0.2599
  Lopez           0.4734   0.5266
  and             0.0145   0.9855
  Foo             0.0749   0.9251
  Fighters        0.0749   0.9251
  .               0.0151   0.9849
  US              0.0278   0.9722
  President       0.0565   0.9435
  Joe             0.9671   0.0329
  Biden           0.0749   0.9251
  also            0.0152   0.9848
  spoke           0.0128   0.9872
  .               0.0151   0.9849
  Addressing      0.0246   0.9754
  thousands       0.0157   0.9843
  of              0.0029   0.9971
  fully           0.0157   0.9843
  vaccinated      0.0246   0.9754
  guests          0.0157   0.9843
  at              0.0153   0.9847
  the             0.0001   0.9999
  SoFi            0.3642   0.6358
  Stadium         0.0566   0.9434
  in              0.0153   0.9847
  Los             0.0566   0.9434
  Angeles         0.0849   0.9151
  ,               0.0134   0.9866
  Prince          0.3861   0.6139
  Harry           0.3642   0.6358
  praised         0.0125   0.9875
  the             0.0001   0.9999
  efforts         0.0157   0.9843
  of              0.0002   0.9998
  front           0.0142   0.9858
  line            0.0157   0.9843
  workers         0.0157   0.9843
  during          0.0144   0.9856
  the             0.0001   0.9999
  pandemic        0.0246   0.9754
  .               0.0151   0.9849
  ``              0.0246   0.9754
  Tonight         0.0749   0.9251
  is              0.2188   0.7812
  a               0.0156   0.9844
  celebration     0.0157   0.9843
  of              0.0002   0.9998
  each            0.0129   0.9871
  of              0.0002   0.9998
  you             0.0157   0.9843
  here            0.0150   0.9850
  ,               0.0134   0.9866
  the             0.0001   0.9999
  vaccinated      0.0246   0.9754
  frontline       0.0246   0.9754
  workers         0.0157   0.9843
  in              0.0153   0.9847
  the             0.0001   0.9999
  audience        0.0157   0.9843
  and             0.0145   0.9855
  the             0.0001   0.9999
  millions        0.0157   0.9843
  of              0.0002   0.9998
  frontline       0.0246   0.9754
  heroes          0.0246   0.9754
  around          0.0154   0.9846
  the             0.0001   0.9999
  world           0.0157   0.9843
  ,               0.0134   0.9866
  ''              0.0246   0.9754
  he              0.0157   0.9843
  said            0.0126   0.9874
  .               0.0151   0.9849
  Selena          0.3642   0.6358
  Gomez           0.4734   0.5266
  at              0.2317   0.7683
  Vax             0.0749   0.9251
  Live            0.0749   0.9251
  IMAGE           0.0390   0.9610
  COPYRIGHTAFP    0.0390   0.9610
  image           0.0157   0.9843
  captionSelena   0.0246   0.9754
  Gomez           0.4734   0.5266
  hosted          0.0246   0.9754
  the             0.0001   0.9999
  event           0.0157   0.9843
  ,               0.0134   0.9866
  calling         0.0157   0.9843
  for             0.0154   0.9846
  ``              0.0246   0.9754
  doses           0.0246   0.9754
  and             0.0145   0.9855
  dollars         0.0157   0.9843
  ''              0.0246   0.9754
  to              0.0154   0.9846
  go              0.0157   0.9843
  to              0.0154   0.9846
  the             0.0001   0.9999
  world           0.0157   0.9843
  's              0.0132   0.9868
  poorest         0.0157   0.9843
  countries       0.0157   0.9843
  ``              0.0246   0.9754
  You             0.0157   0.9843
  spent           0.0128   0.9872
  the             0.0001   0.9999
  last            0.0152   0.9848
  year            0.0157   0.9843
  battling        0.0157   0.9843
  courageously    0.0246   0.9754
  and             0.0145   0.9855
  selflessly      0.0246   0.9754
  to              0.0154   0.9846
  protect         0.0157   0.9843
  us              0.0157   0.9843
  all             0.0155   0.9845
  .               0.0151   0.9849
  You             0.0157   0.9843
  served          0.0157   0.9843
  and             0.2223   0.7777
  sacrificed      0.0060   0.9940
  ,               0.0134   0.9866
  put             0.0145   0.9855
  yourselves      0.0246   0.9754
  in              0.0153   0.9847
  harm            0.0157   0.9843
  's              0.0132   0.9868
  way             0.0157   0.9843
  ,               0.0134   0.9866
  and             0.0145   0.9855
  acted           0.0246   0.9754
  with            0.0152   0.9848
  bravery         0.0246   0.9754
  ,               0.0134   0.9866
  knowing         0.0246   0.9754
  the             0.0001   0.9999
  costs           0.0157   0.9843
  .               0.0151   0.9849
  We              0.0157   0.9843
  owe             0.0246   0.9754
  you             0.2362   0.7638
  an              0.0156   0.9844
  incredible      0.0246   0.9754
  debt            0.0157   0.9843
  of              0.0002   0.9998
  gratitude       0.0157   0.9843
  .               0.0151   0.9849
  Thank           0.0749   0.9251
  you             0.0157   0.9843
  .               0.2298   0.7702
  ``              0.0246   0.9754
  It              0.0157   0.9843
  was             0.2169   0.7831
  the             0.0001   0.9999
  duke            0.0246   0.9754
  's              0.0132   0.9868
  first           0.0156   0.9844
  public          0.0157   0.9843
  appearance      0.0157   0.9843
  since           0.0151   0.9849
  the             0.0001   0.9999
  funeral         0.0246   0.9754
  of              0.0002   0.9998
  his             0.0157   0.9843
  grandfather     0.0246   0.9754
  ,               0.0134   0.9866
  Prince          0.3861   0.6139
  Philip          0.7664   0.2336
  on              0.0153   0.9847
  17              0.0142   0.9858
  April           0.2574   0.7426
  .               0.0151   0.9849
  His             0.0157   0.9843
  wife            0.0157   0.9843
  the             0.0022   0.9978
  Duchess         0.3642   0.6358
  of              0.0002   0.9998
  Sussex          0.0533   0.9467
  ,               0.0134   0.9866
  who             0.0153   0.9847
  is              0.0142   0.9858
  pregnant        0.0157   0.9843
  ,               0.0134   0.9866
  stayed          0.0157   0.9843
  at              0.0153   0.9847
  home            0.0157   0.9843
  .               0.0151   0.9849
  The             0.0157   0.9843
  couple          0.0157   0.9843
  are             0.2319   0.7681
  campaign        0.0135   0.9865
  chairs          0.0246   0.9754
  of              0.0002   0.9998
  Vax             0.0749   0.9251
  Live            0.0749   0.9251
  ,               0.0134   0.9866
  organised       0.0157   0.9843
  by              0.0155   0.9845
  anti-poverty    0.0246   0.9754
  group           0.0157   0.9843
  Global          0.0566   0.9434
  Citizen         0.0749   0.9251
  .               0.0151   0.9849
  US              0.0278   0.9722
  President       0.0565   0.9435
  Joe             0.9671   0.0329
  Biden           0.0749   0.9251
  and             0.0145   0.9855
  First           0.0560   0.9440
  Lady            0.0566   0.9434
  Jill            0.9107   0.0893
  Biden           0.0749   0.9251
  also            0.0152   0.9848
  appeared        0.0157   0.9843
  at              0.0153   0.9847
  the             0.0001   0.9999
  concert         0.0157   0.9843
  in              0.0153   0.9847
  a               0.0156   0.9844
  pre-recorded    0.0246   0.9754
  video           0.0157   0.9843
  .               0.0151   0.9849
  US              0.0278   0.9722
  President       0.0565   0.9435
  Joe             0.9671   0.0329
  Biden           0.0749   0.9251
  and             0.0145   0.9855
  First           0.0560   0.9440
  Lady            0.0566   0.9434
  Jill            0.9107   0.0893
  Biden           0.0749   0.9251
  speak           0.0157   0.9843
  in              0.0153   0.9847
  a               0.0156   0.9844
  video           0.0157   0.9843
  message         0.0157   0.9843
  IMAGE           0.0390   0.9610
  COPYRIGHTGETTY  0.0390   0.9610
  IMAGES          0.0390   0.9610
  image           0.0157   0.9843
  captionUS       0.0246   0.9754
  President       0.0565   0.9435
  Joe             0.6022   0.3978
  Biden           0.0749   0.9251
  and             0.0145   0.9855
  First           0.0560   0.9440
  Lady            0.0566   0.9434
  Jill            0.9107   0.0893
  Biden           0.0749   0.9251
  appeared        0.0157   0.9843
  in              0.0153   0.9847
  a               0.0156   0.9844
  video           0.0157   0.9843
  message         0.0157   0.9843
  President       0.0565   0.9435
  Biden           0.0749   0.9251
  said            0.0126   0.9874
  he              0.0157   0.9843
  was             0.0141   0.9859
  ``              0.0246   0.9754
  working         0.0157   0.9843
  with            0.0152   0.9848
  leaders         0.0157   0.9843
  around          0.0154   0.9846
  the             0.0001   0.9999
  world           0.0157   0.9843
  to              0.0154   0.9846
  share           0.0157   0.9843
  more            0.0156   0.9844
  vaccines        0.0246   0.9754
  and             0.0145   0.9855
  boost           0.0157   0.9843
  production      0.0157   0.9843
  ''              0.0246   0.9754
  .               0.0151   0.9849
  The             0.0157   0.9843
  singer          0.0157   0.9843
  Selena          0.9175   0.0825
  Gomez           0.4734   0.5266
  hosted          0.0246   0.9754
  the             0.0001   0.9999
  event           0.0157   0.9843
  ,               0.0134   0.9866
  calling         0.0157   0.9843
  for             0.0154   0.9846
  ``              0.0246   0.9754
  doses           0.0246   0.9754
  and             0.0145   0.9855
  dollars         0.0157   0.9843
  ''              0.0246   0.9754
  to              0.0154   0.9846
  go              0.0157   0.9843
  to              0.0154   0.9846
  the             0.0001   0.9999
  world           0.0157   0.9843
  's              0.0132   0.9868
  poorest         0.0157   0.9843
  countries       0.0157   0.9843
  .               0.0151   0.9849
  Rock            0.0566   0.9434
  band            0.0157   0.9843
  Foo             0.6112   0.3888
  Fighters        0.0749   0.9251
  were            0.0152   0.9848
  joined          0.0145   0.9855
  by              0.0155   0.9845
  surprise        0.0157   0.9843
  guest           0.0157   0.9843
  Brian           0.7669   0.2331
  Johnson         0.8213   0.1787
  of              0.0002   0.9998
  AC/DC           0.0390   0.9610
  for             0.0154   0.9846
  a               0.0156   0.9844
  rendition       0.0246   0.9754
  of              0.0002   0.9998
  the             0.0001   0.9999
  Australian      0.0517   0.9483
  band            0.0157   0.9843
  's              0.0132   0.9868
  hit             0.0111   0.9889
  Back            0.0246   0.9754
  in              0.0153   0.9847
  Black           0.5137   0.4863
  .               0.0151   0.9849
  The             0.0157   0.9843
  scheme          0.0157   0.9843
  to              0.2332   0.7668
  share           0.0157   0.9843
  vaccines        0.0246   0.9754
  with            0.0152   0.9848
  other           0.0157   0.9843
  countries       0.0157   0.9843
  Covid           0.0749   0.9251
  vaccines        0.0246   0.9754
  :               0.0155   0.9845
  How             0.0485   0.9515
  fast            0.0157   0.9843
  is              0.0142   0.9858
  worldwide       0.0157   0.9843
  progress        0.0157   0.9843
  ?               0.0157   0.9843
  Covid           0.0749   0.9251
  map             0.0157   0.9843
  :               0.0155   0.9845
  Where           0.0246   0.9754
  are             0.0153   0.9847
  cases           0.0157   0.9843
  the             0.0001   0.9999
  highest         0.0157   0.9843
  ?               0.0157   0.9843
  And             0.0157   0.9843
  actress         0.0157   0.9843
  and             0.0145   0.9855
  singer          0.0157   0.9843
  Jennifer        0.7401   0.2599
  Lopez           0.4734   0.5266
  was             0.0141   0.9859
  joined          0.0145   0.9855
  on              0.0153   0.9847
  stage           0.0157   0.9843
  by              0.0155   0.9845
  her             0.0156   0.9844
  mother          0.0157   0.9843
  to              0.0154   0.9846
  sing            0.0246   0.9754
  Neil            0.7401   0.2599
  Diamond         0.0697   0.9303
  's              0.0132   0.9868
  Sweet           0.0749   0.9251
  Caroline        0.7401   0.2599
  .               0.0151   0.9849
  Jennifer        0.7401   0.2599
  Lopez           0.4734   0.5266
  joined          0.2225   0.7775
  by              0.0155   0.9845
  her             0.0156   0.9844
  mother          0.0157   0.9843
  at              0.0153   0.9847
  the             0.0001   0.9999
  Vax             0.0749   0.9251
  Live            0.0749   0.9251
  event           0.0157   0.9843
  IMAGE           0.0390   0.9610
  COPYRIGHTGETTY  0.0390   0.9610
  IMAGES          0.0390   0.9610
  image           0.0157   0.9843
  captionJennifer 0.0246   0.9754
  Lopez           0.4734   0.5266
  was             0.0141   0.9859
  joined          0.0145   0.9855
  by              0.0155   0.9845
  her             0.0156   0.9844
  mother          0.0157   0.9843
  at              0.0153   0.9847
  the             0.0001   0.9999
  Vax             0.0749   0.9251
  Live            0.0749   0.9251
  event           0.0157   0.9843
  Other           0.0157   0.9843
  celebrity       0.0246   0.9754
  guests          0.0157   0.9843
  ,               0.0134   0.9866
  including       0.0157   0.9843
  Ben             0.4421   0.5579
  Affleck         0.4734   0.5266
  ,               0.0134   0.9866
  David           0.7361   0.2639
  Letterman       0.3642   0.6358
  ,               0.0134   0.9866
  Jimmy           0.7401   0.2599
  Kimmel          0.3642   0.6358
  and             0.0145   0.9855
  Sean            0.8993   0.1007
  Penn            0.0566   0.9434
  ,               0.0134   0.9866
  all             0.0155   0.9845
  called          0.0135   0.9865
  for             0.0154   0.9846
  equal           0.0157   0.9843
  access          0.0157   0.9843
  to              0.0154   0.9846
  vaccines        0.0246   0.9754
  around          0.0154   0.9846
  the             0.0001   0.9999
  world           0.0157   0.9843
  ,               0.0134   0.9866
  or              0.0153   0.9847
  vaccine         0.0246   0.9754
  equity          0.0157   0.9843
  .               0.0151   0.9849
  Other           0.0157   0.9843
  video           0.0157   0.9843
  messages        0.2362   0.7638
  came            0.0132   0.9868
  from            0.0155   0.9845
  Pope            0.5586   0.4414
  Francis         0.7401   0.2599
  ,               0.0134   0.9866
  French          0.0511   0.9489
  President       0.0565   0.9435
  Emmanuel        0.7401   0.2599
  Macron          0.0749   0.9251
  and             0.0145   0.9855
  Canadian        0.0542   0.9458
  Prime           0.0566   0.9434
  Minister        0.0566   0.9434
  Justin          0.7401   0.2599
  Trudeau         0.3642   0.6358
  .               0.0151   0.9849
  In              0.0156   0.9844
  his             0.0157   0.9843
  address         0.2362   0.7638
  Prince          0.3861   0.6139
  Harry           0.3642   0.6358
  called          0.0135   0.9865
  on              0.0153   0.9847
  people          0.0157   0.9843
  to              0.0154   0.9846
  come            0.0157   0.9843
  together        0.0157   0.9843
  and             0.0145   0.9855
  commit          0.0157   0.9843
  to              0.0154   0.9846
  their           0.0157   0.9843
  ``              0.0246   0.9754
  shared          0.0130   0.9870
  humanity        0.0246   0.9754
  ''              0.0246   0.9754
  .               0.0151   0.9849
  ``              0.0246   0.9754
  The             0.0157   0.9843
  vaccine         0.3292   0.6708
  must            0.0157   0.9843
  be              0.0157   0.9843
  distributed     0.0157   0.9843
  to              0.0154   0.9846
  everyone        0.0157   0.9843
  everywhere      0.0246   0.9754
  ,               0.0134   0.9866
  ''              0.0246   0.9754
  the             0.0001   0.9999
  Duke            0.3642   0.6358
  said            0.0126   0.9874
  .               0.0151   0.9849
  Foo             0.0749   0.9251
  Fighters        0.0749   0.9251
  '               0.2262   0.7738
  Dave            0.7401   0.2599
  Grohl           0.0749   0.9251
  performs        0.0157   0.9843
  Back            0.0749   0.9251
  in              0.0153   0.9847
  Black           0.5137   0.4863
  with            0.0152   0.9848
  Brian           0.7669   0.2331
  Johnson         0.8213   0.1787
  of              0.0002   0.9998
  AC/DC           0.0390   0.9610
  IMAGE           0.0390   0.9610
  COPYRIGHTGETTY  0.0390   0.9610
  IMAGES          0.0390   0.9610
  image           0.0157   0.9843
  captionFoo      0.0246   0.9754
  Fighters        0.0749   0.9251
  '               0.0148   0.9852
  Dave            0.7401   0.2599
  Grohl           0.0749   0.9251
  performed       0.0157   0.9843
  Back            0.0749   0.9251
  in              0.0153   0.9847
  Black           0.5137   0.4863
  with            0.0152   0.9848
  Brian           0.7669   0.2331
  Johnson         0.8213   0.1787
  of              0.0002   0.9998
  AC/DC           0.0390   0.9610
  ``              0.0246   0.9754
  We              0.0157   0.9843
  can             0.0157   0.9843
  not             0.0148   0.9852
  rest            0.0157   0.9843
  or              0.0153   0.9847
  truly           0.0157   0.9843
  recover         0.0157   0.9843
  until           0.0157   0.9843
  there           0.0155   0.9845
  is              0.0142   0.9858
  fair            0.0157   0.9843
  distribution    0.0157   0.9843
  to              0.0154   0.9846
  every           0.0157   0.9843
  corner          0.0157   0.9843
  of              0.0002   0.9998
  the             0.0001   0.9999
  world           0.0157   0.9843
  .               0.0151   0.9849
  The             0.0157   0.9843
  mission         0.0157   0.9843
  in              0.2315   0.7685
  front           0.0142   0.9858
  of              0.0002   0.9998
  us              0.0157   0.9843
  is              0.0142   0.9858
  one             0.0157   0.9843
  we              0.0156   0.9844
  can             0.0157   0.9843
  not             0.0148   0.9852
  afford          0.0246   0.9754
  to              0.0154   0.9846
  fail            0.0119   0.9881
  at              0.0153   0.9847
  and             0.0145   0.9855
  that            0.0156   0.9844
  's              0.0132   0.9868
  what            0.0157   0.9843
  tonight         0.0157   0.9843
  is              0.0142   0.9858
  about           0.0153   0.9847
  .               0.0151   0.9849
  ``              0.0246   0.9754
  Prince          0.1641   0.8359
  Harry           0.9175   0.0825
  also            0.0152   0.9848
  voiced          0.0157   0.9843
  support         0.0157   0.9843
  for             0.0154   0.9846
  India           0.0570   0.9430
  ,               0.0134   0.9866
  which           0.0156   0.9844
  is              0.0142   0.9858
  in              0.0153   0.9847
  the             0.0001   0.9999
  midst           0.0246   0.9754
  of              0.0002   0.9998
  a               0.0156   0.9844
  Covid           0.0749   0.9251
  crisis          0.0157   0.9843
  which           0.0156   0.9844
  has             0.0138   0.9862
  overwhelmed     0.0157   0.9843
  hospitals       0.0157   0.9843
  .               0.0151   0.9849
  ``              0.0246   0.9754
  Tonight         0.0749   0.9251
  ,               0.2082   0.7918
  we              0.0156   0.9844
  stand           0.0130   0.9870
  in              0.0153   0.9847
  solidarity      0.0157   0.9843
  with            0.0152   0.9848
  the             0.0001   0.9999
  millions        0.0157   0.9843
  of              0.0002   0.9998
  families        0.0157   0.9843
  across          0.0157   0.9843
  India           0.0570   0.9430
  ,               0.0134   0.9866
  who             0.0153   0.9847
  are             0.0153   0.9847
  battling        0.0157   0.9843
  a               0.0156   0.9844
  devastating     0.0157   0.9843
  second          0.0156   0.9844
  wave            0.0157   0.9843
  ,               0.0134   0.9866
  ''              0.0246   0.9754
  he              0.0157   0.9843
  said            0.0126   0.9874
  .               0.0151   0.9849
  ``              0.0246   0.9754
  The             0.0157   0.9843
  virus           0.2362   0.7638
  does            0.0157   0.9843
  not             0.0148   0.9852
  respect         0.0157   0.9843
  borders         0.0157   0.9843
  ,               0.0134   0.9866
  and             0.0145   0.9855
  access          0.0157   0.9843
  to              0.0154   0.9846
  the             0.0001   0.9999
  vaccine         0.0246   0.9754
  can             0.0157   0.9843
  not             0.0148   0.9852
  be              0.0157   0.9843
  determined      0.0157   0.9843
  by              0.0155   0.9845
  geography       0.0157   0.9843
  .               0.0151   0.9849
  ``              0.0246   0.9754
  Vax             0.0749   0.9251
  Live            0.6112   0.3888
  is              0.0142   0.9858
  calling         0.0157   0.9843
  on              0.0153   0.9847
  governments     0.0157   0.9843
  to              0.0154   0.9846
  commit          0.0157   0.9843
  to              0.0154   0.9846
  vaccine         0.0246   0.9754
  equity          0.0157   0.9843
  by              0.0155   0.9845
  donating        0.0246   0.9754
  doses           0.0246   0.9754
  and             0.0145   0.9855
  resources       0.0157   0.9843
  .               0.0151   0.9849
  The             0.0157   0.9843
  event           0.0157   0.9843
  raised          0.2362   0.7638
  $               0.0157   0.9843
  53              0.0132   0.9868
  .               0.0151   0.9849
  8               0.0152   0.9848
  million         0.0157   0.9843
  (               0.0010   0.9990
  £38             0.0390   0.9610
  .               0.0151   0.9849
  8               0.0152   0.9848
  million         0.0157   0.9843
  )               0.0102   0.9898
  for             0.0154   0.9846
  Covax           0.0749   0.9251
  ,               0.0134   0.9866
  which           0.0156   0.9844
  is              0.0142   0.9858
  working         0.0157   0.9843
  to              0.0154   0.9846
  to              0.0154   0.9846
  ensure          0.0157   0.9843
  vaccines        0.0246   0.9754
  are             0.0153   0.9847
  shared          0.0130   0.9870
  fairly          0.0157   0.9843
  among           0.0157   0.9843
  all             0.0155   0.9845
  nations         0.0157   0.9843
  ,               0.0134   0.9866
  rich            0.0157   0.9843
  and             0.0145   0.9855
  poor            0.0157   0.9843
  .               0.0151   0.9849
  Organisers      0.0169   0.9831
  said            0.0126   0.9874
  it              0.2362   0.7638
  was             0.0141   0.9859
  enough          0.0157   0.9843
  to              0.0154   0.9846
  help            0.0152   0.9848
  purchase        0.0157   0.9843
  almost          0.0157   0.9843
  10              0.0156   0.9844
  .               0.0151   0.9849
  3               0.0154   0.9846
  million         0.0157   0.9843
  vaccine         0.3292   0.6708
  doses           0.0246   0.9754
  .               0.0151   0.9849
  More            0.0157   0.9843
  than            0.0157   0.9843
  one             0.2362   0.7638
  billion         0.0157   0.9843
  doses           0.0246   0.9754
  of              0.0002   0.9998
  coronavirus     0.0246   0.9754
  vaccines        0.0246   0.9754
  have            0.0156   0.9844
  now             0.0154   0.9846
  been            0.0157   0.9843
  administered    0.0157   0.9843
  worldwide       0.0157   0.9843
  .               0.0151   0.9849
  But             0.0157   0.9843
  there           0.0155   0.9845
  are             0.2319   0.7681
  vast            0.0157   0.9843
  differences     0.0157   0.9843
  in              0.0153   0.9847
  the             0.0001   0.9999
  pace            0.0157   0.9843
  of              0.0002   0.9998
  progress        0.0157   0.9843
  in              0.0153   0.9847
  different       0.0157   0.9843
  parts           0.0157   0.9843
  of              0.0002   0.9998
  the             0.0001   0.9999
  world           0.0157   0.9843
  ,               0.0134   0.9866
  with            0.0152   0.9848
  some            0.0156   0.9844
  countries       0.0157   0.9843
  having          0.0157   0.9843
  delivered       0.0157   0.9843
  doses           0.0246   0.9754
  to              0.0154   0.9846
  a               0.0156   0.9844
  large           0.0157   0.9843
  proportion      0.0157   0.9843
  of              0.0002   0.9998
  their           0.0157   0.9843
  population      0.0157   0.9843
  and             0.0145   0.9855
  others          0.0157   0.9843
  still           0.0155   0.9845
  waiting         0.0157   0.9843
  for             0.0154   0.9846
  their           0.0157   0.9843
  first           0.0156   0.9844
  shipments       0.0157   0.9843
  to              0.0154   0.9846
  arrive          0.0157   0.9843
  .               0.0151   0.9849
  The             0.0157   0.9843
  concert         0.0157   0.9843
  will            0.2209   0.7791
  stream          0.0157   0.9843
  on              0.0153   0.9847
  YouTube         0.0749   0.9251
  ,               0.0134   0.9866
  along           0.0146   0.9854
  with            0.0152   0.9848
  American        0.0177   0.9823
  television      0.0157   0.9843
  networks        0.0157   0.9843
  ,               0.0134   0.9866
  on              0.0153   0.9847
  8               0.0152   0.9848
  May             0.0565   0.9435
  at              0.0153   0.9847
  midnight        0.0157   0.9843
  GMT             0.0282   0.9718
  .               0.0151   0.9849
  Last            0.0157   0.9843
  year            0.0157   0.9843
  ,               0.2082   0.7918
  Global          0.0566   0.9434
  Citizen         0.0749   0.9251
  partnered       0.0157   0.9843
  with            0.0152   0.9848
  the             0.0001   0.9999
  World           0.0566   0.9434
  Health          0.0566   0.9434
  Organization    0.0749   0.9251
  to              0.0154   0.9846
  put             0.0145   0.9855
  on              0.0153   0.9847
  a               0.0156   0.9844
  virtual         0.0157   0.9843
  concert         0.0157   0.9843
  to              0.0154   0.9846
  celebrate       0.0109   0.9891
  healthcare      0.0157   0.9843
  workers         0.0157   0.9843
  .               0.0151   0.9849
  .               0.0151   0.9849
