  Words          P(PERSON)  P(O)   CLASS
  during          0.0028   0.9972   O
  the             0.0002   0.9998   O
  pandemic        0.0031   0.9969   O
  .               0.0028   0.9972   O
  ``              0.0031   0.9969   O
  Tonight         0.1322   0.8678   O
  is              0.0118   0.9882   O
  a               0.0028   0.9972   O
  celebration     0.0028   0.9972   O
  of              0.0011   0.9989   O
  each            0.0028   0.9972   O
  of              0.0002   0.9998   O
  you             0.0028   0.9972   O
  here            0.0028   0.9972   O
  ,               0.0028   0.9972   O
  the             0.0002   0.9998   O
  vaccinated      0.0031   0.9969   O
  frontline       0.0031   0.9969   O
  workers         0.0028   0.9972   O
  in              0.0118   0.9882   O
  the             0.0002   0.9998   O
  audience        0.0028   0.9972   O
  and             0.0028   0.9972   O
  the             0.0002   0.9998   O
  millions        0.0028   0.9972   O
  of              0.0002   0.9998   O
  frontline       0.0031   0.9969   O
  heroes          0.0031   0.9969   O
  around          0.0028   0.9972   O
  the             0.0002   0.9998   O
  world           0.0028   0.9972   O
  ,               0.0028   0.9972   O
  ''              0.0031   0.9969   O
  he              0.0028   0.9972   O
  said            0.0028   0.9972   O
  .               0.0028   0.9972   O
  Selena          0.5457   0.4543   PERSON
  Gomez           0.6705   0.3295   PERSON
  at              0.0118   0.9882   O
  Vax             0.1322   0.8678   O
  Live            0.1322   0.8678   O
  IMAGE           0.1010   0.8990   O
  COPYRIGHTAFP    0.0255   0.9745   O
  image           0.0028   0.9972   O
  captionSelena   0.0031   0.9969   O
  Gomez           0.6705   0.3295   PERSON
  hosted          0.0031   0.9969   O
  the             0.0002   0.9998   O
  event           0.0028   0.9972   O
  ,               0.0028   0.9972   O
  calling         0.0028   0.9972   O
  for             0.0118   0.9882   O
  ``              0.0031   0.9969   O
  doses           0.0031   0.9969   O
  and             0.0028   0.9972   O
  dollars         0.0028   0.9972   O
  ''              0.0031   0.9969   O
  to              0.0028   0.9972   O
  go              0.0028   0.9972   O
  to              0.0028   0.9972   O
  the             0.0002   0.9998   O
  world           0.0028   0.9972   O
  's              0.0028   0.9972   O
  poorest         0.0028   0.9972   O
  countries       0.0028   0.9972   O
  ``              0.0031   0.9969   O
  You             0.0028   0.9972   O
  spent           0.0028   0.9972   O
  the             0.0002   0.9998   O
  last            0.0028   0.9972   O
  year            0.0118   0.9882   O
  battling        0.0028   0.9972   O
  courageously    0.0031   0.9969   O
  and             0.0028   0.9972   O
  selflessly      0.0031   0.9969   O
  to              0.0028   0.9972   O
  protect         0.0028   0.9972   O
  us              0.0028   0.9972   O
  all             0.0028   0.9972   O
  .               0.0028   0.9972   O
  You             0.0028   0.9972   O
  served          0.0028   0.9972   O
  and             0.0118   0.9882   O
  sacrificed      0.0028   0.9972   O
  ,               0.0028   0.9972   O
  put             0.0118   0.9882   O
  yourselves      0.0031   0.9969   O
  in              0.0028   0.9972   O
  harm            0.0028   0.9972   O
  's              0.0028   0.9972   O
  way             0.0028   0.9972   O
  ,               0.0028   0.9972   O
  and             0.0028   0.9972   O
  acted           0.0031   0.9969   O
  with            0.0028   0.9972   O
  bravery         0.0131   0.9869   O
  ,               0.0028   0.9972   O
  knowing         0.0031   0.9969   O
  the             0.0002   0.9998   O
  costs           0.0028   0.9972   O
  .               0.0028   0.9972   O
  We              0.0028   0.9972   O
  owe             0.0031   0.9969   O
  you             0.0118   0.9882   O
  an              0.0028   0.9972   O
  incredible      0.0031   0.9969   O
  debt            0.0118   0.9882   O
  of              0.0002   0.9998   O
  gratitude       0.0028   0.9972   O
  .               0.0028   0.9972   O
  Thank           0.1322   0.8678   O
  you             0.0028   0.9972   O
  .               0.0118   0.9882   O
  ``              0.0031   0.9969   O
  It              0.0028   0.9972   O
  was             0.0118   0.9882   O
  the             0.0002   0.9998   O
  duke            0.0031   0.9969   O
  's              0.0118   0.9882   O
  first           0.0028   0.9972   O
  public          0.0028   0.9972   O
  appearance      0.0028   0.9972   O
  since           0.0028   0.9972   O
  the             0.0002   0.9998   O
  funeral         0.0031   0.9969   O
  of              0.0002   0.9998   O
  his             0.0028   0.9972   O
  grandfather     0.0031   0.9969   O
  ,               0.0118   0.9882   O
  Prince          0.3248   0.6752   O
  Philip          0.7510   0.2490   PERSON
  on              0.0028   0.9972   O
  17              0.0028   0.9972   O
  April           0.3905   0.6095   O
  .               0.0028   0.9972   O
  His             0.0028   0.9972   O
  wife            0.0028   0.9972   O
  the             0.0007   0.9993   O
  Duchess         0.5457   0.4543   PERSON
  of              0.0002   0.9998   O
  Sussex          0.3579   0.6421   O
  ,               0.0028   0.9972   O
  who             0.0028   0.9972   O
  is              0.0028   0.9972   O
  pregnant        0.0028   0.9972   O
  ,               0.0028   0.9972   O
  stayed          0.0028   0.9972   O
  at              0.0028   0.9972   O
  home            0.0028   0.9972   O
  .               0.0028   0.9972   O
  The             0.0028   0.9972   O
  couple          0.0028   0.9972   O
  are             0.0118   0.9882   O
  campaign        0.0028   0.9972   O
  chairs          0.0031   0.9969   O
  of              0.0011   0.9989   O
  Vax             0.1322   0.8678   O
  Live            0.1322   0.8678   O
  ,               0.0028   0.9972   O
  organised       0.0028   0.9972   O
  by              0.0028   0.9972   O
  anti-poverty    0.0031   0.9969   O
  group           0.0028   0.9972   O
  Global          0.1065   0.8935   O
  Citizen         0.1322   0.8678   O
  .               0.0118   0.9882   O
  US              0.0224   0.9776   O
  President       0.1062   0.8938   O
  Joe             0.9101   0.0899   PERSON
  Biden           0.1322   0.8678   O
  and             0.0028   0.9972   O
  First           0.3431   0.6569   O
  Lady            0.1065   0.8935   O
  Jill            0.8798   0.1202   PERSON
  Biden           0.1322   0.8678   O
  also            0.0028   0.9972   O
  appeared        0.0028   0.9972   O
  at              0.0028   0.9972   O
  the             0.0002   0.9998   O
  concert         0.0028   0.9972   O
  in              0.0028   0.9972   O
  a               0.0118   0.9882   O
  pre-recorded    0.0031   0.9969   O
  video           0.0028   0.9972   O
  .               0.0028   0.9972   O
  US              0.0224   0.9776   O
  President       0.1062   0.8938   O
  Joe             0.9101   0.0899   PERSON
  Biden           0.1322   0.8678   O
  and             0.0028   0.9972   O
  First           0.3431   0.6569   O
  Lady            0.1065   0.8935   O
  Jill            0.8798   0.1202   PERSON
  Biden           0.1322   0.8678   O
  speak           0.0028   0.9972   O
  in              0.0028   0.9972   O
  a               0.0028   0.9972   O
  video           0.0028   0.9972   O
  message         0.0028   0.9972   O
  IMAGE           0.0255   0.9745   O
  COPYRIGHTGETTY  0.1010   0.8990   O
  IMAGES          0.0255   0.9745   O
  image           0.0028   0.9972   O
  captionUS       0.0031   0.9969   O
  President       0.1062   0.8938   O
  Joe             0.7025   0.2975   PERSON
  Biden           0.1322   0.8678   O
  and             0.0028   0.9972   O
  First           0.1085   0.8915   O
  Lady            0.1065   0.8935   O
  Jill            0.8798   0.1202   PERSON
  Biden           0.1322   0.8678   O
  appeared        0.0028   0.9972   O
  in              0.0028   0.9972   O
  a               0.0028   0.9972   O
  video           0.0028   0.9972   O
  message         0.0028   0.9972   O
  President       0.1062   0.8938   O
  Biden           0.1322   0.8678   O
  said            0.0118   0.9882   O
  he              0.0028   0.9972   O
  was             0.0028   0.9972   O
  ``              0.0031   0.9969   O
  working         0.0028   0.9972   O
  with            0.0028   0.9972   O
  leaders         0.0028   0.9972   O
  around          0.0028   0.9972   O
  the             0.0002   0.9998   O
  world           0.0028   0.9972   O
  to              0.0028   0.9972   O
  share           0.0028   0.9972   O
  more            0.0028   0.9972   O
  vaccines        0.0031   0.9969   O
  and             0.0028   0.9972   O
  boost           0.0028   0.9972   O
  production      0.0028   0.9972   O
  ''              0.0031   0.9969   O
  .               0.0028   0.9972   O
  The             0.0028   0.9972   O
  singer          0.0028   0.9972   O
  Selena          0.8375   0.1625   PERSON
  Gomez           0.6705   0.3295   PERSON
  hosted          0.0031   0.9969   O
  the             0.0007   0.9993   O
  event           0.0028   0.9972   O
  ,               0.0028   0.9972   O
  calling         0.0028   0.9972   O
  for             0.0028   0.9972   O
  ``              0.0031   0.9969   O
  doses           0.0031   0.9969   O
  and             0.0028   0.9972   O
  dollars         0.0028   0.9972   O
  ''              0.0031   0.9969   O
  to              0.0118   0.9882   O
  go              0.0028   0.9972   O
  to              0.0028   0.9972   O
  the             0.0002   0.9998   O
  world           0.0028   0.9972   O
  's              0.0028   0.9972   O
  poorest         0.0028   0.9972   O
  countries       0.0028   0.9972   O
  .               0.0028   0.9972   O
  Rock            0.1065   0.8935   O
  band            0.0028   0.9972   O
  Foo             0.3952   0.6048   O
  Fighters        0.1322   0.8678   O
  were            0.0028   0.9972   O
  joined          0.0118   0.9882   O
  by              0.0028   0.9972   O
  surprise        0.0028   0.9972   O
  guest           0.0028   0.9972   O
  Brian           0.7581   0.2419   PERSON
  Johnson         0.8494   0.1506   PERSON
  of              0.0002   0.9998   O
  AC/DC           0.0255   0.9745   O
  for             0.0028   0.9972   O
  a               0.0028   0.9972   O
  rendition       0.0131   0.9869   O
  of              0.0002   0.9998   O
  the             0.0002   0.9998   O
  Australian      0.1174   0.8826   O
  band            0.0028   0.9972   O
  's              0.0028   0.9972   O
  hit             0.0028   0.9972   O
  Back            0.0031   0.9969   O
  in              0.0028   0.9972   O
  Black           0.6371   0.3629   PERSON
  .               0.0028   0.9972   O
  The             0.0028   0.9972   O
  scheme          0.0028   0.9972   O
  to              0.0118   0.9882   O
  share           0.0028   0.9972   O
  vaccines        0.0031   0.9969   O
  with            0.0118   0.9882   O
  other           0.0028   0.9972   O
  countries       0.0028   0.9972   O
  Covid           0.1322   0.8678   O
  vaccines        0.0031   0.9969   O
  :               0.0028   0.9972   O
  How             0.1204   0.8796   O
  fast            0.0028   0.9972   O
  is              0.0028   0.9972   O
  worldwide       0.0028   0.9972   O
  progress        0.0118   0.9882   O
  ?               0.0028   0.9972   O
  Covid           0.1322   0.8678   O
  map             0.0028   0.9972   O
  :               0.0028   0.9972   O
  Where           0.0031   0.9969   O
  are             0.0028   0.9972   O
  cases           0.0028   0.9972   O
  the             0.0002   0.9998   O
  highest         0.0028   0.9972   O
  ?               0.0028   0.9972   O
  And             0.0028   0.9972   O
  actress         0.0028   0.9972   O
  and             0.0028   0.9972   O
  singer          0.0028   0.9972   O
  Jennifer        0.7342   0.2658   PERSON
  Lopez           0.6705   0.3295   PERSON
  was             0.0028   0.9972   O
  joined          0.0028   0.9972   O
  on              0.0118   0.9882   O
  stage           0.0028   0.9972   O
  by              0.0028   0.9972   O
  her             0.0028   0.9972   O
  mother          0.0028   0.9972   O
  to              0.0028   0.9972   O
  sing            0.0031   0.9969   O
  Neil            0.7342   0.2658   PERSON
  Diamond         0.1097   0.8903   O
  's              0.0028   0.9972   O
  Sweet           0.1322   0.8678   O
  Caroline        0.7342   0.2658   PERSON
  .               0.0028   0.9972   O
  Jennifer        0.7342   0.2658   PERSON
  Lopez           0.6705   0.3295   PERSON
  joined          0.0118   0.9882   O
  by              0.0028   0.9972   O
  her             0.0028   0.9972   O
  mother          0.0118   0.9882   O
  at              0.0028   0.9972   O
  the             0.0002   0.9998   O
  Vax             0.1322   0.8678   O
  Live            0.1322   0.8678   O
  event           0.0028   0.9972   O
  IMAGE           0.0255   0.9745   O
  COPYRIGHTGETTY  0.0255   0.9745   O
  IMAGES          0.0255   0.9745   O
  image           0.0028   0.9972   O
  captionJennifer 0.0131   0.9869   O
  Lopez           0.6705   0.3295   PERSON
  was             0.0028   0.9972   O
  joined          0.0028   0.9972   O
  by              0.0028   0.9972   O
  her             0.0028   0.9972   O
  mother          0.0028   0.9972   O
  at              0.0028   0.9972   O
  the             0.0002   0.9998   O
  Vax             0.1322   0.8678   O
  Live            0.1322   0.8678   O
  event           0.0028   0.9972   O
  Other           0.0028   0.9972   O
  celebrity       0.0031   0.9969   O
  guests          0.0028   0.9972   O
  ,               0.0028   0.9972   O
  including       0.0028   0.9972   O
  Ben             0.5263   0.4737   PERSON
  Affleck         0.6705   0.3295   PERSON
  ,               0.0118   0.9882   O
  David           0.7328   0.2672   PERSON
  Letterman       0.5457   0.4543   PERSON
  ,               0.0028   0.9972   O
  Jimmy           0.7342   0.2658   PERSON
  Kimmel          0.5457   0.4543   PERSON
  and             0.0028   0.9972   O
  Sean            0.8859   0.1141   PERSON
  Penn            0.1065   0.8935   O
  ,               0.0028   0.9972   O
  all             0.0028   0.9972   O
  called          0.0028   0.9972   O
  for             0.0028   0.9972   O
  equal           0.0028   0.9972   O
  access          0.0028   0.9972   O
  to              0.0028   0.9972   O
  vaccines        0.0031   0.9969   O
  around          0.0028   0.9972   O
  the             0.0002   0.9998   O
  world           0.0028   0.9972   O
  ,               0.0028   0.9972   O
  or              0.0028   0.9972   O
  vaccine         0.0031   0.9969   O
  equity          0.0028   0.9972   O
  .               0.0028   0.9972   O
  Other           0.0028   0.9972   O
  video           0.0028   0.9972   O
  messages        0.0118   0.9882   O
  came            0.0028   0.9972   O
  from            0.0028   0.9972   O
  Pope            0.7634   0.2366   PERSON
  Francis         0.7342   0.2658   PERSON
  ,               0.0028   0.9972   O
  French          0.1181   0.8819   O
  President       0.1062   0.8938   O
  Emmanuel        0.7342   0.2658   PERSON
  Macron          0.1322   0.8678   O
  and             0.0028   0.9972   O
  Canadian        0.1133   0.8867   O
  Prime           0.1065   0.8935   O
  Minister        0.3383   0.6617   O
  Justin          0.7342   0.2658   PERSON
  Trudeau         0.5457   0.4543   PERSON
  .               0.0028   0.9972   O
  In              0.0028   0.9972   O
  his             0.0028   0.9972   O
  address         0.0118   0.9882   O
  Prince          0.3248   0.6752   O
  Harry           0.5457   0.4543   PERSON
  called          0.0118   0.9882   O
  on              0.0028   0.9972   O
  people          0.0028   0.9972   O
  to              0.0028   0.9972   O
  come            0.0028   0.9972   O
  together        0.0028   0.9972   O
  and             0.0028   0.9972   O
  commit          0.0028   0.9972   O
  to              0.0028   0.9972   O
  their           0.0028   0.9972   O
  ``              0.0131   0.9869   O
  shared          0.0028   0.9972   O
  humanity        0.0031   0.9969   O
  ''              0.0031   0.9969   O
  .               0.0028   0.9972   O
  ``              0.0031   0.9969   O
  The             0.0028   0.9972   O
  vaccine         0.0131   0.9869   O
  must            0.0028   0.9972   O
  be              0.0028   0.9972   O
  distributed     0.0118   0.9882   O
  to              0.0028   0.9972   O
  everyone        0.0028   0.9972   O
  everywhere      0.0031   0.9969   O
  ,               0.0028   0.9972   O
  ''              0.0031   0.9969   O
  the             0.0002   0.9998   O
  Duke            0.5457   0.4543   PERSON
  said            0.0028   0.9972   O
  .               0.0028   0.9972   O
  Foo             0.1322   0.8678   O
  Fighters        0.1322   0.8678   O
  '               0.0118   0.9882   O
  Dave            0.7342   0.2658   PERSON
  Grohl           0.1322   0.8678   O
  performs        0.0118   0.9882   O
  Back            0.1322   0.8678   O
  in              0.0028   0.9972   O
  Black           0.6371   0.3629   PERSON
  with            0.0028   0.9972   O
  Brian           0.7581   0.2419   PERSON
  Johnson         0.8494   0.1506   PERSON
  of              0.0002   0.9998   O
  AC/DC           0.0255   0.9745   O
  IMAGE           0.0255   0.9745   O
  COPYRIGHTGETTY  0.1010   0.8990   O
  IMAGES          0.0255   0.9745   O
  image           0.0028   0.9972   O
  captionFoo      0.0031   0.9969   O
  Fighters        0.1322   0.8678   O
  '               0.0028   0.9972   O
  Dave            0.7342   0.2658   PERSON
  Grohl           0.1322   0.8678   O
  performed       0.0028   0.9972   O
  Back            0.1322   0.8678   O
  in              0.0028   0.9972   O
  Black           0.6371   0.3629   PERSON
  with            0.0028   0.9972   O
  Brian           0.7581   0.2419   PERSON
  Johnson         0.8494   0.1506   PERSON
  of              0.0002   0.9998   O
  AC/DC           0.0255   0.9745   O
  ``              0.0031   0.9969   O
  We              0.0028   0.9972   O
  can             0.0118   0.9882   O
  not             0.0028   0.9972   O
  rest            0.0028   0.9972   O
  or              0.0028   0.9972   O
  truly           0.0028   0.9972   O
  recover         0.0028   0.9972   O
  until           0.0028   0.9972   O
  there           0.0028   0.9972   O
  is              0.0028   0.9972   O
  fair            0.0028   0.9972   O
  distribution    0.0028   0.9972   O
  to              0.0028   0.9972   O
  every           0.0028   0.9972   O
  corner          0.0028   0.9972   O
  of              0.0002   0.9998   O
  the             0.0002   0.9998   O
  world           0.0028   0.9972   O
  .               0.0028   0.9972   O
  The             0.0028   0.9972   O
  mission         0.0028   0.9972   O
  in              0.0118   0.9882   O
  front           0.0028   0.9972   O
  of              0.0002   0.9998   O
  us              0.0118   0.9882   O
  is              0.0028   0.9972   O
  one             0.0028   0.9972   O
  we              0.0028   0.9972   O
  can             0.0028   0.9972   O
  not             0.0028   0.9972   O
  afford          0.0031   0.9969   O
  to              0.0028   0.9972   O
  fail            0.0028   0.9972   O
  at              0.0028   0.9972   O
  and             0.0118   0.9882   O
  that            0.0028   0.9972   O
  's              0.0028   0.9972   O
  what            0.0028   0.9972   O
  tonight         0.0028   0.9972   O
  is              0.0028   0.9972   O
  about           0.0028   0.9972   O
  .               0.0028   0.9972   O
  ``              0.0031   0.9969   O
  Prince          0.0097   0.9903   O
  Harry           0.8375   0.1625   PERSON
  also            0.0028   0.9972   O
  voiced          0.0028   0.9972   O
  support         0.0118   0.9882   O
  for             0.0028   0.9972   O
  India           0.1062   0.8938   O
  ,               0.0028   0.9972   O
  which           0.0028   0.9972   O
  is              0.0028   0.9972   O
  in              0.0028   0.9972   O
  the             0.0002   0.9998   O
  midst           0.0031   0.9969   O
  of              0.0002   0.9998   O
  a               0.0118   0.9882   O
  Covid           0.1322   0.8678   O
  crisis          0.0028   0.9972   O
  which           0.0028   0.9972   O
  has             0.0028   0.9972   O
  overwhelmed     0.0028   0.9972   O
  hospitals       0.0028   0.9972   O
  .               0.0028   0.9972   O
  ``              0.0031   0.9969   O
  Tonight         0.1322   0.8678   O
  ,               0.0118   0.9882   O
  we              0.0028   0.9972   O
  stand           0.0028   0.9972   O
  in              0.0118   0.9882   O
  solidarity      0.0028   0.9972   O
  with            0.0028   0.9972   O
  the             0.0002   0.9998   O
  millions        0.0028   0.9972   O
  of              0.0002   0.9998   O
  families        0.0028   0.9972   O
  across          0.0028   0.9972   O
  India           0.1062   0.8938   O
  ,               0.0028   0.9972   O
  who             0.0118   0.9882   O
  are             0.0028   0.9972   O
  battling        0.0028   0.9972   O
  a               0.0028   0.9972   O
  devastating     0.0028   0.9972   O
  second          0.0028   0.9972   O
  wave            0.0028   0.9972   O
  ,               0.0028   0.9972   O
  ''              0.0031   0.9969   O
  he              0.0028   0.9972   O
  said            0.0028   0.9972   O
  .               0.0028   0.9972   O
  ``              0.0031   0.9969   O
  The             0.0028   0.9972   O
  virus           0.0118   0.9882   O
  does            0.0028   0.9972   O
  not             0.0028   0.9972   O
  respect         0.0118   0.9882   O
  borders         0.0028   0.9972   O
  ,               0.0028   0.9972   O
  and             0.0028   0.9972   O
  access          0.0028   0.9972   O
  to              0.0028   0.9972   O
  the             0.0002   0.9998   O
  vaccine         0.0031   0.9969   O
  can             0.0028   0.9972   O
  not             0.0028   0.9972   O
  be              0.0118   0.9882   O
  determined      0.0028   0.9972   O
  by              0.0028   0.9972   O
  geography       0.0028   0.9972   O
  .               0.0028   0.9972   O
  ``              0.0031   0.9969   O
  Vax             0.1322   0.8678   O
  Live            0.3952   0.6048   O
  is              0.0028   0.9972   O
  calling         0.0028   0.9972   O
  on              0.0118   0.9882   O
  governments     0.0028   0.9972   O
  to              0.0028   0.9972   O
  commit          0.0028   0.9972   O
  to              0.0028   0.9972   O
  vaccine         0.0031   0.9969   O
  equity          0.0028   0.9972   O
  by              0.0028   0.9972   O
  donating        0.0031   0.9969   O
  doses           0.0031   0.9969   O
  and             0.0118   0.9882   O
  resources       0.0028   0.9972   O
  .               0.0028   0.9972   O
  The             0.0028   0.9972   O
  event           0.0028   0.9972   O
  raised          0.0118   0.9882   O
  $               0.0028   0.9972   O
  53              0.0028   0.9972   O
  .               0.0118   0.9882   O
  8               0.0028   0.9972   O
  million         0.0028   0.9972   O
  (               0.0013   0.9987   O
  £38             0.0255   0.9745   O
  .               0.0028   0.9972   O
  8               0.0028   0.9972   O
  million         0.0028   0.9972   O
  )               0.0023   0.9977   O
  for             0.0028   0.9972   O
  Covax           0.1322   0.8678   O
  ,               0.0118   0.9882   O
  which           0.0028   0.9972   O
  is              0.0028   0.9972   O
  working         0.0028   0.9972   O
  to              0.0028   0.9972   O
  to              0.0028   0.9972   O
  ensure          0.0028   0.9972   O
  vaccines        0.0031   0.9969   O
  are             0.0028   0.9972   O
  shared          0.0028   0.9972   O
  fairly          0.0118   0.9882   O
  among           0.0028   0.9972   O
  all             0.0028   0.9972   O
  nations         0.0028   0.9972   O
  ,               0.0028   0.9972   O
  rich            0.0028   0.9972   O
  and             0.0028   0.9972   O
  poor            0.0028   0.9972   O
  .               0.0028   0.9972   O
  Organisers      0.0027   0.9973   O
  said            0.0028   0.9972   O
  it              0.0118   0.9882   O
  was             0.0028   0.9972   O
  enough          0.0028   0.9972   O
  to              0.0118   0.9882   O
  help            0.0028   0.9972   O
  purchase        0.0028   0.9972   O
  almost          0.0028   0.9972   O
  10              0.0028   0.9972   O
  .               0.0028   0.9972   O
  3               0.0028   0.9972   O
  million         0.0028   0.9972   O
  vaccine         0.0131   0.9869   O
  doses           0.0031   0.9969   O
  .               0.0028   0.9972   O
  More            0.0028   0.9972   O
  than            0.0028   0.9972   O
  one             0.0118   0.9882   O
  billion         0.0028   0.9972   O
  doses           0.0031   0.9969   O
  of              0.0011   0.9989   O
  coronavirus     0.0031   0.9969   O
  vaccines        0.0031   0.9969   O
  have            0.0028   0.9972   O
  now             0.0028   0.9972   O
  been            0.0028   0.9972   O
  administered    0.0028   0.9972   O
  worldwide       0.0028   0.9972   O
  .               0.0028   0.9972   O
  But             0.0028   0.9972   O
  there           0.0028   0.9972   O
  are             0.0118   0.9882   O
  vast            0.0028   0.9972   O
  differences     0.0028   0.9972   O
  in              0.0118   0.9882   O
  the             0.0002   0.9998   O
  pace            0.0028   0.9972   O
  of              0.0002   0.9998   O
  progress        0.0028   0.9972   O
  in              0.0028   0.9972   O
  different       0.0028   0.9972   O
  parts           0.0028   0.9972   O
  of              0.0002   0.9998   O
  the             0.0002   0.9998   O
  world           0.0118   0.9882   O
  ,               0.0028   0.9972   O
  with            0.0028   0.9972   O
  some            0.0028   0.9972   O
  countries       0.0028   0.9972   O
  having          0.0028   0.9972   O
  delivered       0.0028   0.9972   O
  doses           0.0031   0.9969   O
  to              0.0028   0.9972   O
  a               0.0028   0.9972   O
  large           0.0028   0.9972   O
  proportion      0.0028   0.9972   O
  of              0.0002   0.9998   O
  their           0.0028   0.9972   O
  population      0.0028   0.9972   O
  and             0.0028   0.9972   O
  others          0.0028   0.9972   O
  still           0.0028   0.9972   O
  waiting         0.0028   0.9972   O
  for             0.0118   0.9882   O
  their           0.0028   0.9972   O
  first           0.0028   0.9972   O
  shipments       0.0028   0.9972   O
  to              0.0028   0.9972   O
  arrive          0.0028   0.9972   O
  .               0.0028   0.9972   O
  The             0.0028   0.9972   O
  concert         0.0028   0.9972   O
  will            0.0118   0.9882   O
  stream          0.0028   0.9972   O
  on              0.0028   0.9972   O
  YouTube         0.3952   0.6048   O
  ,               0.0028   0.9972   O
  along           0.0028   0.9972   O
  with            0.0028   0.9972   O
